Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/09/01,00:00,6.9,0.0,43,184,3.2
2024/09/01,01:00,6.7,0.0,44,180,3.6
2024/09/01,02:00,6.1,0.0,47,180,4.3
2024/09/01,03:00,5.4,0.0,43,198,2.4
2024/09/01,04:00,4.9,0.0,46,332,0.7
2024/09/01,05:00,5.5,0.0,56,254,1.6
2024/09/01,06:00,4.8,0.0,59,316,1.2
2024/09/01,07:00,4.2,0.0,65,287,1.5
2024/09/01,08:00,5.2,0.0,63,247,0.5
2024/09/01,09:00,8.3,0.0,53,116,1.5
2024/09/01,10:00,9.9,0.0,47,47,2.5
2024/09/01,11:00,11.2,0.0,36,356,3.3
2024/09/01,12:00,13.1,0.0,28,337,3.3
2024/09/01,13:00,13.2,0.0,29,79,4.5
2024/09/01,14:00,12.4,0.0,40,88,5.7
2024/09/01,15:00,13.4,0.0,36,94,5.8
2024/09/01,16:00,14.1,0.0,33,97,5.2
2024/09/01,17:00,13.6,0.0,34,67,6.0
2024/09/01,18:00,11.5,0.0,50,50,5.9
2024/09/01,19:00,9.0,0.0,68,77,4.5
2024/09/01,20:00,9.0,0.0,68,77,4.5
2024/09/01,21:00,8.8,0.0,72,105,4.6
2024/09/01,22:00,9.1,0.0,74,99,5.0
2024/09/01,23:00,8.9,0.0,74,108,5.4
2024/09/02,00:00,8.9,0.0,73,182,2.3
2024/09/02,01:00,8.5,0.0,71,194,3.3
2024/09/02,02:00,8.0,0.0,72,205,2.1
2024/09/02,03:00,7.6,0.0,73,199,2.8
