Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/10/01,00:00,10.2,0.0,56,290,1.5
2023/10/01,01:00,9.3,0.0,53,333,1.3
2023/10/01,02:00,9.6,0.0,44,288,1.2
2023/10/01,03:00,10.1,0.0,40,331,1.6
2023/10/01,04:00,9.1,0.0,46,269,0.4
2023/10/01,05:00,8.5,0.0,52,99,2.8
2023/10/01,06:00,7.6,0.0,62,46,1.8
2023/10/01,07:00,7.4,0.0,59,281,1.6
2023/10/01,08:00,9.5,0.0,59,97,2.0
2023/10/01,09:00,11.2,0.0,54,137,2.5
2023/10/01,10:00,13.3,0.0,45,133,2.6
2023/10/01,11:00,15.0,0.0,40,127,3.9
2023/10/01,12:00,16.7,0.0,33,93,3.7
2023/10/01,13:00,18.3,0.0,31,71,3.5
2023/10/01,14:00,19.2,0.0,31,106,6.3
2023/10/01,15:00,18.3,0.0,32,87,5.7
2023/10/01,16:00,16.8,0.0,36,57,4.0
2023/10/01,17:00,16.6,0.0,37,62,6.3
2023/10/01,18:00,14.4,0.0,51,81,6.9
2023/10/01,19:00,12.7,0.0,55,105,4.6
2023/10/01,20:00,13.1,0.0,49,223,2.5
2023/10/01,21:00,13.0,0.0,47,245,2.5
2023/10/01,22:00,12.2,0.0,37,274,2.1
2023/10/01,23:00,10.8,0.0,27,312,2.2
2023/10/02,00:00,10.2,0.0,29,302,2.1
2023/10/02,01:00,9.8,0.0,33,330,2.9
2023/10/02,02:00,8.6,0.0,40,279,1.7
2023/10/02,03:00,7.6,0.0,38,266,3.3
2023/10/02,04:00,7.0,0.0,46,280,1.8
2023/10/02,05:00,6.9,0.0,37,295,1.3
2023/10/02,06:00,6.6,0.0,34,295,1.6
2023/10/02,07:00,6.2,0.0,39,345,0.9
2023/10/02,08:00,8.4,0.0,41,88,2.6
2023/10/02,09:00,10.7,0.0,37,101,2.7
2023/10/02,10:00,13.0,0.0,31,110,3.6
2023/10/02,11:00,14.7,0.0,31,120,3.3
2023/10/02,12:00,16.6,0.0,26,110,4.5
2023/10/02,13:00,18.0,0.0,27,109,4.5
2023/10/02,14:00,19.3,0.0,23,102,5.9
2023/10/02,15:00,19.8,0.0,23,97,5.7
2023/10/02,16:00,20.2,0.0,21,68,5.1
2023/10/02,17:00,19.7,0.0,20,65,5.7
2023/10/02,18:00,17.7,0.0,26,71,3.4
2023/10/02,19:00,15.1,0.0,38,162,3.7
