Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:LOSUROS
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'13.4'',Longitud:69°58'26.9'',Altitud:3819,msnm.
,Tipo:CO,-Meteorológica,Código:100088
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-09-01,14.6
,-.6,79.5,0.0
2024-09-02,S/D
,.4,S/D,S/D
2024-09-03,S/D
,-5.2,S/D,S/D
2024-09-04,S/D
,-2.4,S/D,S/D
2024-09-05,19.8
,-1.6,77.1,0.0
2024-09-06,S/D
,-2.4,S/D,S/D
2024-09-07,18.8
,-3.2,81.4,2.9
2024-09-08,18.4
,-2.2,80.2,0.0
2024-09-09,S/D
,0,S/D,S/D
2024-09-10,19.8
,-1,66.2,0.0
2024-09-11,20.2
,-.2,70.3,0.0
2024-09-12,18.6
,-1.2,71.3,0.0
2024-09-13,20
,-2.2,71.3,0.0
2024-09-14,19.6
,-1.4,77.1,0.0
2024-09-15,19.4
,2.2,71.0,0.0
2024-09-16,19.6
,.6,71.8,5.1
2024-09-17,20.2
,-1.4,78.3,0.6
2024-09-18,17.6
,2.4,S/D,3.9
2024-09-19,18
,.8,78.7,0.0
2024-09-20,19
,.2,68.4,0.0
2024-09-21,S/D
,0,S/D,S/D
2024-09-22,18.6
,1.8,72.6,0.0
2024-09-23,19.4
,.6,72.7,0.0
2024-09-24,18.8
,1.4,75.1,0.0
2024-09-25,19.6
,-1.6,71.5,0.0
2024-09-26,18.2
,5,73.8,0.0
2024-09-27,18.6
,3.6,80.5,0.0
2024-09-28,17.6
,1.6,77.1,1.8
2024-09-29,18.4
,-2.2,81.2,0.0
2024-09-30,19.2
,4.4,77.9,0.0
