Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/10/01,00:00,9.6,0.0,40,320,1.1
2024/10/01,01:00,9.2,0.0,38,310,1.2
2024/10/01,02:00,8.6,0.0,36,301,1.2
2024/10/01,03:00,8.0,0.0,32,141,2.9
2024/10/01,04:00,8.4,0.0,43,156,3.5
2024/10/01,05:00,7.8,0.0,50,358,1.5
2024/10/01,06:00,7.3,0.0,59,333,1.8
2024/10/01,07:00,7.1,0.0,59,325,0.8
2024/10/01,08:00,7.6,0.0,64,180,1.4
2024/10/01,09:00,10.3,0.0,55,158,1.6
2024/10/01,10:00,12.2,0.0,50,152,2.2
2024/10/01,11:00,14.1,0.0,46,111,2.1
2024/10/01,12:00,16.5,0.0,30,107,2.8
2024/10/01,13:00,17.5,0.0,31,107,5.1
2024/10/01,14:00,18.6,0.0,28,93,6.1
2024/10/01,15:00,19.4,0.0,23,84,5.3
2024/10/01,16:00,18.9,0.0,24,89,5.9
2024/10/01,17:00,18.5,0.0,22,77,5.9
2024/10/01,18:00,17.2,0.0,25,54,3.9
2024/10/01,19:00,15.2,0.0,32,49,2.9
2024/10/01,20:00,13.4,0.0,43,62,1.8
2024/10/01,21:00,12.2,0.0,63,68,1.2
2024/10/01,22:00,12.5,0.0,66,10,2.4
2024/10/01,23:00,11.8,0.0,67,319,1.1
2024/10/02,00:00,10.7,0.0,53,301,1.3
2024/10/02,01:00,10.4,0.0,37,307,1.3
2024/10/02,02:00,9.7,0.0,42,298,1.3
2024/10/02,03:00,9.1,0.0,45,336,0.6
2024/10/02,04:00,8.0,0.0,47,281,1.1
2024/10/02,05:00,7.8,0.0,39,298,0.7
2024/10/02,06:00,7.2,0.0,42,19,1.6
2024/10/02,07:00,6.6,0.0,50,6,0.4
2024/10/02,08:00,8.8,0.0,48,70,1.2
2024/10/02,09:00,11.8,0.0,39,104,2.0
2024/10/02,10:00,13.2,0.0,40,113,3.9
2024/10/02,11:00,15.2,0.0,37,114,3.9
2024/10/02,12:00,16.6,0.0,37,113,4.6
2024/10/02,13:00,18.2,0.0,30,117,5.5
2024/10/02,14:00,18.9,0.0,25,113,5.8
2024/10/02,15:00,19.3,0.0,25,118,5.2
2024/10/02,16:00,19.3,0.0,29,86,6.2
2024/10/02,17:00,19.1,0.0,29,82,6.4
2024/10/02,18:00,16.9,0.0,37,75,5.6
2024/10/02,19:00,14.8,0.0,54,64,3.9
2024/10/02,20:00,13.9,0.0,57,40,4.5
2024/10/02,21:00,13.2,0.0,58,117,1.1
2024/10/02,22:00,11.9,0.0,63,286,1.0
