Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/01/01,00:00,10.6,S/D,66,109,1.0
2024/01/01,01:00,10.4,S/D,70,190,2.5
2024/01/01,02:00,8.9,S/D,79,210,2.8
2024/01/01,03:00,7.7,S/D,85,161,4.0
2024/01/01,04:00,7.0,S/D,86,279,2.7
2024/01/01,05:00,7.7,S/D,75,290,1.4
2024/01/01,06:00,7.9,S/D,77,293,1.2
2024/01/01,07:00,8.5,S/D,77,313,0.9
2024/01/01,08:00,10.6,S/D,63,43,0.8
2024/01/01,09:00,12.6,S/D,59,119,1.5
2024/01/01,10:00,13.5,S/D,51,101,2.1
2024/01/01,11:00,14.8,S/D,47,111,1.9
2024/01/01,12:00,15.7,S/D,46,84,2.0
2024/01/01,13:00,15.3,S/D,50,110,5.3
2024/01/01,14:00,15.8,S/D,51,122,2.7
2024/01/01,15:00,17.1,S/D,47,99,3.8
2024/01/01,16:00,17.8,S/D,44,72,5.8
2024/01/01,17:00,14.9,S/D,53,186,2.2
2024/01/01,18:00,14.2,S/D,56,71,3.4
2024/01/01,19:00,14.0,S/D,56,195,4.3
2024/01/01,20:00,10.8,S/D,72,138,1.6
2024/01/01,21:00,10.3,S/D,72,213,3.6
2024/01/01,22:00,9.9,S/D,67,23,1.6
2024/01/01,23:00,11.3,S/D,58,192,3.6
2024/01/02,00:00,11.3,S/D,58,286,1.6
2024/01/02,01:00,10.4,S/D,68,283,2.5
2024/01/02,02:00,10.1,S/D,69,278,0.8
2024/01/02,03:00,9.7,S/D,74,322,1.8
2024/01/02,04:00,8.8,S/D,81,79,1.9
2024/01/02,05:00,7.8,S/D,86,61,1.8
2024/01/02,06:00,7.5,S/D,89,221,1.1
2024/01/02,07:00,7.3,S/D,88,241,1.8
2024/01/02,08:00,7.7,S/D,84,212,0.5
2024/01/02,09:00,9.2,S/D,77,182,0.8
2024/01/02,10:00,10.0,S/D,74,56,0.6
2024/01/02,11:00,10.9,S/D,73,125,2.1
2024/01/02,12:00,12.2,S/D,65,251,2.1
2024/01/02,13:00,13.1,S/D,62,116,2.1
2024/01/02,14:00,13.6,S/D,61,56,6.3
2024/01/02,15:00,12.9,S/D,63,43,2.0
