Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/06/01,00:00,6.3,0.0,22,314,1.2
2024/06/01,01:00,5.6,0.0,22,302,0.9
2024/06/01,02:00,5.9,0.0,21,320,1.8
2024/06/01,03:00,4.7,0.0,23,360,1.0
2024/06/01,04:00,3.5,0.0,26,305,1.0
2024/06/01,05:00,2.7,0.0,28,310,0.8
2024/06/01,06:00,2.0,0.0,33,307,1.1
2024/06/01,07:00,1.5,0.0,35,296,1.5
2024/06/01,08:00,2.3,0.0,32,330,0.4
2024/06/01,09:00,6.9,0.0,29,90,1.5
2024/06/01,10:00,8.7,0.0,29,127,1.7
2024/06/01,11:00,10.6,0.0,27,136,2.5
2024/06/01,12:00,12.5,0.0,26,120,3.3
2024/06/01,13:00,13.6,0.0,27,134,2.8
2024/06/01,14:00,14.4,0.0,25,115,2.9
2024/06/01,15:00,15.2,0.0,25,99,4.3
2024/06/01,16:00,15.6,0.0,27,85,5.0
2024/06/01,17:00,15.0,0.0,26,67,3.3
2024/06/01,18:00,13.3,0.0,24,45,2.3
2024/06/01,19:00,9.4,0.0,34,305,1.1
2024/06/01,20:00,9.4,0.0,34,305,1.1
2024/06/01,21:00,8.0,0.0,40,317,1.0
2024/06/01,22:00,7.3,0.0,37,307,1.1
2024/06/01,23:00,6.6,0.0,32,298,0.8
2024/06/02,00:00,6.0,0.0,32,296,1.1
2024/06/02,01:00,5.5,0.0,35,283,1.5
2024/06/02,02:00,5.6,0.0,35,338,0.6
2024/06/02,03:00,4.1,0.0,41,302,1.0
2024/06/02,04:00,3.1,0.0,43,310,0.9
2024/06/02,05:00,2.7,0.0,43,302,1.0
2024/06/02,06:00,2.1,0.0,44,319,1.1
2024/06/02,07:00,1.5,0.0,46,305,0.9
