Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:LOSUROS
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'13.4'',Longitud:69°58'26.9'',Altitud:3819,msnm.
,Tipo:CO,-Meteorológica,Código:100088
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-04-01,18.2
,6.4,75.2,1.5
2024-04-02,16.8
,5.6,77.7,0.0
2024-04-03,15.4
,4.6,79.2,4.9
2024-04-04,17.6
,7.6,76.2,0.0
2024-04-05,17.8
,6.2,78.8,0.0
2024-04-06,16.6
,7,83.7,2.9
2024-04-07,18.2
,7.8,76.5,0.0
2024-04-08,17
,6,80.4,0.0
2024-04-09,18.4
,5.8,80.8,0.0
2024-04-10,17.4
,6.6,77.2,0.4
2024-04-11,17.8
,5,76.7,3.9
2024-04-12,14.4
,5.4,86.8,2.4
2024-04-13,18.8
,6.2,78.3,0.0
2024-04-14,19.4
,4,76.0,0.0
2024-04-15,19
,3,71.6,0.0
2024-04-16,18.4
,-2,68.5,0.0
2024-04-17,17.8
,.8,73.7,0.0
2024-04-18,18
,4.2,73.1,0.0
2024-04-19,17.2
,2.8,74.5,0.0
2024-04-20,S/D
,2.4,S/D,S/D
2024-04-21,18.6
,7.2,74.2,0.0
2024-04-22,18.2
,3,76.0,0.0
2024-04-23,19.6
,3.4,73.3,0.0
2024-04-24,18.6
,3.4,63.3,0.0
2024-04-25,18
,2.8,68.7,0.0
2024-04-26,19.2
,2.2,69.0,0.0
2024-04-27,19.2
,0,74.4,0.0
2024-04-28,18.4
,.2,73.7,0.0
2024-04-29,18.2
,4,S/D,12.6
2024-04-30,S/D
,5,S/D,S/D
