Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:LOSUROS
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'13.4'',Longitud:69°58'26.9'',Altitud:3819,msnm.
,Tipo:CO,-Meteorológica,Código:100088
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-07-01,17.6
,-4,64.9,0.0
2024-07-02,16
,-6.8,76.3,0.0
2024-07-03,16.8
,-8.6,75.2,0.0
2024-07-04,17
,-7.8,64.2,0.0
2024-07-05,17.6
,-7.2,68.1,0.0
2024-07-06,18.2
,-5.8,67.3,0.0
2024-07-07,19.6
,-3.6,74.6,0.0
2024-07-08,17
,-3.4,66.5,0.0
2024-07-09,17.6
,-6,66.3,0.0
2024-07-10,17.8
,-7.2,59.1,0.0
2024-07-11,15.4
,-7,68.0,0.0
2024-07-12,16
,-11.4,65.6,0.0
2024-07-13,17.8
,-9.2,62.9,0.0
2024-07-14,18.6
,-5.4,69.4,0.0
2024-07-15,19.2
,-7.6,68.0,0.0
2024-07-16,17.8
,-7.2,66.8,0.0
2024-07-17,16.4
,-4.4,61.0,0.0
2024-07-18,17.6
,-7.6,66.0,0.0
2024-07-19,17.2
,-8.6,64.8,0.0
2024-07-20,16.6
,-10.4,72.2,0.0
2024-07-21,17.8
,-7.6,71.1,0.0
2024-07-22,16.4
,-5,69.9,0.0
2024-07-23,17.2
,-5.8,72.2,0.0
2024-07-24,16.2
,-3.8,66.5,0.0
2024-07-25,18
,-3.8,67.1,0.0
2024-07-26,17.6
,-4.6,61.6,0.0
2024-07-27,18.4
,-2,66.1,0.0
2024-07-28,17.4
,-4,78.0,0.0
2024-07-29,17
,-4.6,62.2,0.0
2024-07-30,16.8
,-2.2,73.7,0.0
2024-07-31,16.4
,-2.6,67.0,0.0
