Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/12/01,00:00,8.8,0.2,74,279,1.6
2023/12/01,01:00,8.9,0.0,73,329,1.5
2023/12/01,02:00,8.5,0.0,79,323,2.3
2023/12/01,03:00,7.8,0.0,81,333,4.4
2023/12/01,04:00,6.6,0.0,85,335,4.3
2023/12/01,05:00,6.3,0.0,87,347,3.7
2023/12/01,06:00,6.3,0.0,86,348,4.3
2023/12/01,07:00,6.3,0.0,84,347,2.9
2023/12/01,08:00,6.8,0.0,82,268,1.3
2023/12/01,09:00,7.7,0.0,79,263,1.0
2023/12/01,10:00,8.5,0.0,74,357,1.9
2023/12/01,11:00,9.4,0.0,70,263,1.3
2023/12/01,12:00,10.4,0.0,66,35,1.2
2023/12/01,13:00,12.3,0.0,62,135,3.1
2023/12/01,14:00,13.3,0.0,64,107,4.9
2023/12/01,15:00,14.4,0.0,57,109,5.3
2023/12/01,16:00,14.4,0.0,54,83,4.9
2023/12/01,17:00,13.8,0.0,58,77,5.7
2023/12/01,18:00,11.4,0.0,63,188,6.5
2023/12/01,19:00,8.7,0.4,78,218,2.0
2023/12/01,20:00,7.8,2.0,83,15,1.0
2023/12/01,21:00,8.1,0.2,83,30,0.7
2023/12/01,22:00,8.4,0.2,83,272,1.9
2023/12/01,23:00,8.1,0.0,85,311,1.3
2023/12/02,00:00,8.1,0.0,84,297,1.5
2023/12/02,01:00,8.2,0.0,81,273,2.0
2023/12/02,02:00,7.9,0.0,82,295,1.6
