Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/05/01,00:00,8.6,3.6,80,223,4.0
2024/05/01,01:00,8.4,0.4,79,305,1.4
2024/05/01,02:00,8.3,0.0,79,290,1.5
2024/05/01,03:00,8.6,0.0,75,316,1.7
2024/05/01,04:00,9.0,0.2,72,316,1.3
2024/05/01,05:00,8.5,0.0,80,321,1.2
2024/05/01,06:00,8.1,0.0,80,291,1.5
2024/05/01,07:00,7.4,0.0,82,292,0.8
2024/05/01,08:00,7.7,0.0,80,356,1.0
2024/05/01,09:00,9.8,0.0,71,233,0.8
2024/05/01,10:00,11.0,0.0,69,142,1.2
2024/05/01,11:00,11.7,0.0,66,115,1.6
2024/05/01,12:00,13.4,0.0,60,116,2.4
2024/05/01,13:00,15.1,0.0,52,67,4.1
2024/05/01,14:00,14.8,0.0,56,17,5.4
2024/05/01,15:00,8.4,3.0,75,11,2.5
2024/05/01,16:00,11.3,0.0,60,318,1.1
2024/05/01,17:00,11.2,0.0,62,258,2.5
2024/05/01,18:00,10.9,0.0,63,248,3.9
2024/05/01,19:00,10.5,0.0,64,253,5.5
2024/05/01,20:00,9.5,0.0,68,230,3.0
2024/05/01,21:00,9.5,0.0,66,271,1.3
2024/05/01,22:00,9.5,0.0,64,264,3.1
2024/05/01,23:00,8.8,0.2,71,259,4.9
2024/05/02,00:00,8.6,0.0,73,285,1.5
2024/05/02,01:00,8.9,0.0,70,329,0.9
2024/05/02,02:00,8.6,0.0,70,284,1.4
2024/05/02,03:00,7.9,0.0,74,274,2.3
2024/05/02,04:00,7.0,0.0,78,320,1.4
2024/05/02,05:00,6.6,0.0,76,336,0.7
2024/05/02,06:00,6.7,0.0,74,295,1.4
2024/05/02,07:00,6.4,0.0,76,312,1.5
2024/05/02,08:00,6.5,0.0,74,300,1.0
2024/05/02,09:00,8.7,0.0,67,197,0.9
2024/05/02,10:00,10.8,0.0,60,233,1.9
2024/05/02,11:00,12.1,0.0,57,1,2.0
2024/05/02,12:00,13.9,0.0,51,210,1.4
2024/05/02,13:00,14.9,0.0,54,87,4.1
2024/05/02,14:00,15.2,0.0,53,73,4.0
2024/05/02,15:00,15.8,0.0,49,17,3.9
2024/05/02,16:00,15.8,0.0,43,350,2.4
2024/05/02,17:00,15.3,0.0,45,42,1.7
2024/05/02,18:00,13.8,0.0,56,161,4.8
2024/05/02,19:00,11.6,0.0,59,148,2.8
2024/05/02,20:00,9.5,2.0,68,245,7.9
2024/05/02,21:00,8.1,0.0,77,188,3.9
2024/05/02,22:00,7.8,0.0,77,206,2.0
2024/05/02,23:00,7.9,0.4,73,280,3.0
2024/05/03,00:00,6.6,3.8,87,46,1.0
2024/05/03,01:00,6.4,0.6,91,212,1.9
2024/05/03,02:00,6.7,0.0,85,311,1.3
2024/05/03,03:00,6.5,0.0,86,276,2.4
2024/05/03,04:00,6.4,0.0,87,304,1.1
2024/05/03,05:00,6.6,0.0,86,290,1.2
2024/05/03,06:00,6.6,0.0,85,329,1.1
2024/05/03,07:00,6.6,0.0,82,303,1.1
2024/05/03,08:00,6.6,0.0,82,257,1.5
2024/05/03,09:00,7.6,0.0,80,163,1.4
2024/05/03,10:00,8.5,0.0,78,331,2.1
2024/05/03,11:00,10.1,0.0,71,352,2.5
2024/05/03,12:00,11.8,0.0,61,8,3.0
2024/05/03,13:00,12.9,0.0,52,295,1.8
2024/05/03,14:00,14.1,0.0,47,302,2.8
2024/05/03,15:00,14.7,0.0,42,285,2.1
2024/05/03,16:00,14.2,0.0,42,172,2.8
2024/05/03,17:00,13.9,0.0,48,77,2.4
2024/05/03,18:00,14.0,0.0,45,325,1.2
2024/05/03,19:00,12.0,0.0,51,240,2.2
2024/05/03,20:00,10.7,0.0,47,172,2.7
2024/05/03,21:00,9.9,0.0,51,328,1.7
2024/05/03,22:00,8.7,0.0,55,285,2.4
2024/05/03,23:00,8.2,0.0,56,294,1.7
2024/05/04,00:00,7.3,0.0,50,301,1.1
2024/05/04,01:00,6.6,0.0,53,164,0.6
2024/05/04,02:00,5.7,0.0,52,278,1.5
2024/05/04,03:00,6.1,0.0,46,320,1.8
2024/05/04,04:00,4.8,0.0,54,293,1.1
2024/05/04,05:00,4.8,0.0,54,301,0.7
2024/05/04,06:00,4.6,0.0,53,282,2.1
2024/05/04,07:00,3.9,0.0,57,290,1.8
2024/05/04,08:00,4.6,0.0,61,343,0.5
2024/05/04,09:00,8.6,0.0,53,99,1.2
2024/05/04,10:00,10.1,0.0,53,104,2.7
2024/05/04,11:00,12.4,0.0,49,35,2.9
2024/05/04,12:00,13.8,0.0,43,344,2.5
2024/05/04,13:00,14.7,0.0,40,349,1.9
2024/05/04,14:00,15.4,0.0,44,92,4.3
2024/05/04,15:00,15.4,0.0,47,78,3.5
2024/05/04,16:00,15.2,0.0,47,72,5.0
2024/05/04,17:00,14.6,0.0,45,62,3.8
2024/05/04,18:00,14.2,0.0,46,62,2.2
2024/05/04,19:00,13.0,0.0,53,1,1.4
2024/05/04,20:00,12.4,0.0,56,332,0.8
2024/05/04,21:00,12.3,0.0,52,331,2.2
2024/05/04,22:00,10.6,0.0,52,315,2.5
2024/05/04,23:00,10.4,0.0,54,302,2.3
2024/05/05,00:00,10.1,0.0,58,311,2.1
2024/05/05,01:00,9.1,0.0,62,305,1.5
2024/05/05,02:00,9.0,0.0,63,296,1.5
2024/05/05,03:00,8.6,0.0,64,293,0.6
2024/05/05,04:00,8.1,0.0,63,304,1.0
2024/05/05,05:00,7.9,0.0,63,291,2.6
2024/05/05,06:00,7.5,0.0,65,298,1.3
2024/05/05,07:00,7.1,0.0,68,306,1.3
2024/05/05,08:00,8.1,0.0,61,333,1.8
2024/05/05,09:00,9.6,0.0,58,89,2.1
2024/05/05,10:00,10.5,0.0,64,87,2.4
2024/05/05,11:00,12.1,0.0,57,110,2.2
2024/05/05,12:00,13.4,0.0,54,116,3.6
2024/05/05,13:00,15.1,0.0,49,103,3.2
2024/05/05,14:00,17.1,0.0,39,350,2.8
2024/05/05,15:00,17.7,0.0,41,86,5.0
2024/05/05,16:00,16.5,0.0,50,93,3.7
2024/05/05,17:00,16.7,0.0,44,87,3.2
2024/05/05,18:00,15.6,0.0,46,58,2.1
2024/05/05,19:00,12.8,0.0,59,307,1.2
2024/05/05,20:00,12.8,0.0,59,307,1.2
2024/05/05,21:00,11.7,0.0,67,274,1.2
2024/05/05,22:00,12.0,0.0,48,322,1.8
2024/05/05,23:00,12.0,0.0,40,284,1.5
2024/05/06,00:00,10.6,0.0,40,293,1.5
2024/05/06,01:00,8.9,0.0,44,333,1.1
2024/05/06,02:00,8.4,0.0,45,298,1.5
2024/05/06,03:00,8.7,0.0,38,290,1.8
2024/05/06,04:00,7.3,0.0,45,317,1.4
2024/05/06,05:00,6.2,0.0,50,297,1.6
2024/05/06,06:00,5.7,0.0,51,289,1.5
2024/05/06,07:00,5.6,0.0,51,312,0.8
2024/05/06,08:00,6.4,0.0,51,52,0.4
2024/05/06,09:00,10.2,0.0,46,89,2.3
2024/05/06,10:00,11.6,0.0,46,121,2.3
2024/05/06,11:00,13.6,0.0,37,109,3.4
2024/05/06,12:00,14.6,0.0,38,107,3.2
2024/05/06,13:00,15.8,0.0,36,103,3.6
2024/05/06,14:00,17.0,0.0,36,109,3.9
2024/05/06,15:00,17.3,0.0,38,96,5.0
2024/05/06,16:00,17.4,0.0,42,95,4.5
2024/05/06,17:00,17.7,0.0,38,75,3.3
2024/05/06,18:00,15.9,0.0,43,70,2.7
2024/05/06,19:00,13.9,0.0,54,317,1.1
2024/05/06,20:00,13.0,0.0,58,275,1.6
2024/05/06,21:00,12.7,0.0,61,222,1.0
2024/05/06,22:00,11.9,0.0,49,316,1.4
2024/05/06,23:00,11.0,0.0,45,307,1.6
2024/05/07,00:00,10.1,0.0,43,322,1.0
2024/05/07,01:00,9.3,0.0,44,275,1.5
2024/05/07,02:00,9.7,0.0,46,325,0.6
2024/05/07,03:00,9.6,0.0,44,292,1.1
2024/05/07,04:00,10.2,0.0,36,101,1.1
2024/05/07,05:00,10.4,0.0,31,295,1.1
2024/05/07,06:00,10.0,0.0,33,271,0.9
2024/05/07,07:00,9.3,0.0,38,290,2.0
2024/05/07,08:00,8.7,0.0,41,288,1.6
2024/05/07,09:00,12.7,0.0,30,106,1.0
2024/05/07,10:00,14.3,0.0,32,68,3.4
2024/05/07,11:00,14.7,0.0,36,116,3.1
2024/05/07,12:00,15.3,0.0,36,103,4.0
2024/05/07,13:00,15.8,0.0,38,100,4.9
2024/05/07,14:00,16.3,0.0,41,96,5.1
2024/05/07,15:00,16.7,0.0,41,103,5.3
2024/05/07,16:00,17.1,0.0,40,92,3.9
2024/05/07,17:00,16.5,0.0,44,99,4.1
2024/05/07,18:00,15.1,0.0,46,40,1.6
2024/05/07,19:00,13.8,0.0,37,157,4.2
2024/05/07,20:00,13.8,0.0,37,157,4.2
2024/05/07,21:00,12.4,0.0,35,164,2.6
2024/05/07,22:00,11.2,0.0,37,181,1.8
2024/05/07,23:00,10.1,0.0,35,179,1.8
2024/05/08,00:00,10.3,0.0,36,186,3.2
2024/05/08,01:00,10.0,0.0,30,144,3.3
2024/05/08,02:00,9.9,0.0,28,7,1.5
2024/05/08,03:00,9.2,0.0,31,196,2.5
2024/05/08,04:00,7.6,0.0,45,21,1.2
2024/05/08,05:00,7.3,0.0,56,263,1.5
2024/05/08,06:00,6.7,0.0,57,321,1.2
2024/05/08,07:00,6.0,0.0,61,289,1.4
2024/05/08,08:00,6.7,0.0,55,286,1.1
2024/05/08,09:00,10.1,0.0,35,159,0.8
2024/05/08,10:00,12.2,0.0,29,98,1.3
2024/05/08,11:00,13.1,0.0,28,99,2.0
2024/05/08,12:00,14.2,0.0,27,73,3.3
2024/05/08,13:00,15.1,0.0,28,84,3.3
2024/05/08,14:00,15.8,0.0,27,80,3.6
2024/05/08,15:00,16.4,0.0,27,77,4.2
2024/05/08,16:00,15.5,0.0,30,75,4.0
2024/05/08,17:00,15.0,0.0,31,58,2.7
2024/05/08,18:00,14.2,0.0,35,62,2.1
2024/05/08,19:00,13.6,0.0,35,25,1.6
2024/05/08,20:00,13.0,0.0,37,331,1.8
2024/05/08,21:00,11.3,0.0,43,306,1.3
2024/05/08,22:00,10.5,0.0,51,306,1.3
2024/05/08,23:00,9.8,0.0,60,286,1.8
2024/05/09,00:00,9.3,0.0,62,305,0.8
2024/05/09,01:00,8.5,0.0,65,293,1.3
2024/05/09,02:00,8.5,0.0,65,288,1.8
2024/05/09,03:00,8.0,0.0,67,282,2.5
2024/05/09,04:00,7.3,0.0,70,327,0.6
2024/05/09,05:00,6.5,0.0,73,291,1.8
2024/05/09,06:00,6.2,0.0,73,289,1.2
2024/05/09,07:00,5.7,0.0,76,5,1.6
2024/05/09,08:00,7.1,0.0,72,49,1.6
2024/05/09,09:00,9.9,0.0,63,96,2.6
2024/05/09,10:00,11.7,0.0,61,100,2.7
2024/05/09,11:00,12.7,0.0,59,121,2.8
2024/05/09,12:00,14.0,0.0,53,100,3.1
2024/05/09,13:00,14.8,0.0,44,106,3.3
2024/05/09,14:00,15.6,0.0,40,98,4.7
2024/05/09,15:00,16.1,0.0,36,98,5.0
2024/05/09,16:00,15.8,0.0,41,83,4.9
2024/05/09,17:00,15.6,0.0,45,75,5.0
2024/05/09,18:00,14.4,0.0,50,60,2.8
2024/05/09,19:00,11.3,0.0,67,320,1.1
2024/05/09,20:00,11.3,0.0,67,320,1.1
2024/05/09,21:00,10.7,0.0,68,342,1.2
2024/05/09,22:00,10.5,0.0,61,322,0.9
2024/05/09,23:00,9.6,0.0,58,287,1.8
2024/05/10,00:00,9.5,0.0,56,313,1.3
2024/05/10,01:00,8.5,0.0,58,290,1.7
2024/05/10,02:00,7.9,0.0,64,295,1.7
2024/05/10,03:00,7.4,0.0,68,292,1.4
2024/05/10,04:00,6.6,0.0,69,328,1.2
2024/05/10,05:00,6.1,0.0,72,304,1.4
2024/05/10,06:00,6.3,0.0,64,286,1.3
2024/05/10,07:00,5.8,0.0,60,300,1.3
2024/05/10,08:00,6.8,0.0,57,41,0.6
2024/05/10,09:00,9.7,0.0,57,110,1.4
2024/05/10,10:00,11.6,0.0,50,94,1.4
2024/05/10,11:00,13.0,0.0,45,126,1.8
2024/05/10,12:00,14.5,0.0,46,134,2.0
2024/05/10,13:00,15.6,0.0,44,107,2.6
2024/05/10,14:00,16.6,0.0,39,120,3.1
2024/05/10,15:00,16.9,0.0,38,113,3.0
2024/05/10,16:00,17.1,0.0,33,108,3.1
2024/05/10,17:00,17.0,0.0,37,88,3.0
2024/05/10,18:00,15.8,0.0,42,63,2.2
2024/05/10,19:00,14.4,0.0,45,48,2.3
2024/05/10,20:00,13.2,0.0,52,341,0.7
2024/05/10,21:00,11.5,0.0,60,299,1.2
2024/05/10,22:00,10.6,0.0,63,311,1.1
2024/05/10,23:00,9.7,0.0,65,315,0.9
2024/05/11,00:00,9.0,0.0,65,323,1.0
2024/05/11,01:00,9.1,0.0,63,287,1.4
2024/05/11,02:00,9.0,0.0,61,282,1.8
2024/05/11,03:00,8.3,0.0,62,285,2.1
2024/05/11,04:00,7.7,0.0,63,289,2.2
2024/05/11,05:00,6.3,0.0,66,302,0.7
2024/05/11,06:00,5.7,0.0,72,343,1.4
2024/05/11,07:00,5.8,0.0,73,297,1.4
2024/05/11,08:00,6.5,0.0,69,42,0.9
2024/05/11,09:00,10.2,0.0,58,91,1.8
2024/05/11,10:00,11.5,0.0,57,96,1.8
2024/05/11,11:00,13.1,0.0,51,94,2.9
2024/05/11,12:00,15.0,0.0,40,100,3.2
2024/05/11,13:00,15.8,0.0,39,116,2.3
2024/05/11,14:00,17.1,0.0,34,104,2.7
2024/05/11,15:00,18.2,0.0,28,109,3.1
2024/05/11,16:00,18.9,0.0,24,288,1.6
2024/05/11,17:00,19.7,0.0,19,245,1.2
2024/05/11,18:00,16.6,0.0,38,70,3.0
