Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/08/01,00:00,8.1,0.0,25,267,3.5
2024/08/01,01:00,7.2,0.0,25,288,1.6
2024/08/01,02:00,7.4,0.0,23,296,1.9
2024/08/01,03:00,6.2,0.0,26,292,1.1
2024/08/01,04:00,4.9,0.0,31,288,2.2
2024/08/01,05:00,3.8,0.0,32,297,1.4
2024/08/01,06:00,3.6,0.0,33,292,1.6
2024/08/01,07:00,2.8,0.0,36,298,1.0
2024/08/01,08:00,3.4,0.0,39,338,0.4
2024/08/01,09:00,8.0,0.0,25,247,1.1
2024/08/01,10:00,10.0,0.0,29,320,2.1
2024/08/01,11:00,12.7,0.0,21,7,3.4
2024/08/01,12:00,13.9,0.0,24,6,2.7
2024/08/01,13:00,15.8,0.0,22,298,2.4
2024/08/01,14:00,16.7,0.0,23,116,7.3
2024/08/01,15:00,17.7,0.0,21,102,7.1
2024/08/01,16:00,16.2,0.0,27,61,4.8
2024/08/01,17:00,15.2,0.0,29,69,4.4
2024/08/01,18:00,14.7,0.0,36,56,3.0
2024/08/01,19:00,11.2,0.0,28,198,2.7
2024/08/01,20:00,11.2,0.0,28,198,2.7
2024/08/01,21:00,10.9,0.0,15,238,4.0
2024/08/01,22:00,9.0,0.0,14,279,2.3
2024/08/01,23:00,7.3,0.0,15,329,1.3
2024/08/02,00:00,6.2,0.0,17,285,1.5
2024/08/02,01:00,5.5,0.0,17,300,1.4
2024/08/02,02:00,4.0,0.0,20,290,1.4
2024/08/02,03:00,3.5,0.0,22,303,1.2
2024/08/02,04:00,3.3,0.0,22,285,1.6
2024/08/02,05:00,2.3,0.0,22,302,1.6
2024/08/02,06:00,1.6,0.0,24,308,1.5
2024/08/02,07:00,1.2,0.0,24,293,2.1
2024/08/02,08:00,1.8,0.0,21,2,0.7
2024/08/02,09:00,5.8,0.0,23,89,1.1
2024/08/02,10:00,7.8,0.0,24,95,2.9
2024/08/02,11:00,9.4,0.0,20,125,2.2
2024/08/02,12:00,12.2,0.0,15,84,3.1
2024/08/02,13:00,14.9,0.0,12,33,3.1
2024/08/02,14:00,16.2,0.0,15,81,4.7
2024/08/02,15:00,15.8,0.0,22,92,7.1
2024/08/02,16:00,15.9,0.0,21,78,6.2
2024/08/02,17:00,15.2,0.0,21,70,4.7
2024/08/02,18:00,14.0,0.0,23,74,3.1
2024/08/02,19:00,12.2,0.0,25,56,2.8
2024/08/02,20:00,11.1,0.0,13,329,0.9
2024/08/02,21:00,8.9,0.0,16,318,1.0
2024/08/02,22:00,7.4,0.0,15,308,1.8
2024/08/02,23:00,6.2,0.0,17,300,1.0
2024/08/03,00:00,4.6,0.0,20,289,1.5
2024/08/03,01:00,3.6,0.0,21,290,1.2
2024/08/03,02:00,2.8,0.0,24,354,1.1
2024/08/03,03:00,2.0,0.0,29,284,1.9
2024/08/03,04:00,1.7,0.0,33,313,1.1
2024/08/03,05:00,1.3,0.0,36,294,1.6
2024/08/03,06:00,0.7,0.0,31,299,1.3
2024/08/03,07:00,0.1,0.0,30,317,1.0
2024/08/03,08:00,0.3,0.0,32,309,0.5
2024/08/03,09:00,4.4,0.0,31,91,1.7
2024/08/03,10:00,6.8,0.0,24,108,2.1
2024/08/03,11:00,9.3,0.0,25,123,3.1
