Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/03/01,00:00,7.3,0.0,90,281,0.8
2024/03/01,01:00,7.9,0.0,87,89,1.9
2024/03/01,02:00,8.4,0.0,88,320,1.0
2024/03/01,03:00,8.2,0.2,89,326,0.7
2024/03/01,04:00,7.8,0.0,90,57,3.4
2024/03/01,05:00,6.5,0.0,90,329,4.0
2024/03/01,06:00,5.9,0.0,87,247,2.4
2024/03/01,07:00,6.1,0.0,85,132,0.4
2024/03/01,08:00,7.1,0.2,80,247,1.0
2024/03/01,09:00,8.8,0.0,71,160,1.1
2024/03/01,10:00,9.8,0.0,68,67,2.4
2024/03/01,11:00,8.9,0.0,79,154,1.3
2024/03/01,12:00,11.7,0.2,69,124,2.1
2024/03/01,13:00,12.9,0.0,58,122,3.7
2024/03/01,14:00,13.1,0.2,59,99,5.5
2024/03/01,15:00,14.2,0.0,52,84,5.1
2024/03/01,16:00,14.0,0.0,52,21,3.9
2024/03/01,17:00,13.4,0.2,54,55,2.4
2024/03/01,18:00,13.3,0.0,57,88,4.8
2024/03/01,19:00,12.0,0.0,54,52,2.6
2024/03/01,20:00,11.0,0.2,65,71,1.0
2024/03/01,21:00,10.5,0.0,70,10,0.8
2024/03/01,22:00,11.0,0.0,72,284,1.3
2024/03/01,23:00,10.8,0.0,74,88,6.7
2024/03/02,00:00,7.0,0.2,89,286,2.2
2024/03/02,01:00,7.9,0.0,77,334,3.1
2024/03/02,02:00,6.9,0.0,86,156,1.5
2024/03/02,03:00,7.0,0.0,88,291,1.1
2024/03/02,04:00,6.8,0.0,87,273,0.8
2024/03/02,05:00,6.5,0.0,86,305,1.0
2024/03/02,06:00,6.1,0.2,86,290,0.8
2024/03/02,07:00,6.1,0.0,86,284,1.4
2024/03/02,08:00,6.8,0.0,83,289,0.9
2024/03/02,09:00,8.6,0.0,74,238,1.2
2024/03/02,10:00,11.1,0.0,66,112,2.9
2024/03/02,11:00,11.5,0.0,64,93,1.9
2024/03/02,12:00,12.2,0.2,59,62,2.5
2024/03/02,13:00,12.5,0.0,62,78,2.6
2024/03/02,14:00,13.6,0.0,60,115,3.5
2024/03/02,15:00,14.1,0.0,55,98,3.7
2024/03/02,16:00,14.9,0.0,52,76,5.2
2024/03/02,17:00,14.9,0.2,50,87,4.5
2024/03/02,18:00,14.6,0.0,53,94,4.7
2024/03/02,19:00,11.7,0.0,68,50,1.6
2024/03/02,20:00,11.7,0.0,68,50,1.6
2024/03/02,21:00,11.4,0.0,70,313,1.3
2024/03/02,22:00,10.2,0.0,76,313,1.2
2024/03/02,23:00,9.9,0.2,76,316,1.3
2024/03/03,00:00,9.7,0.0,76,307,1.1
2024/03/03,01:00,9.5,0.0,76,324,0.7
2024/03/03,02:00,9.3,0.0,76,313,0.9
2024/03/03,03:00,9.1,0.0,78,294,1.3
2024/03/03,04:00,8.6,0.0,80,287,1.5
2024/03/03,05:00,8.3,0.0,77,285,1.3
2024/03/03,06:00,7.7,0.0,78,315,1.9
2024/03/03,07:00,7.4,0.2,80,44,3.1
2024/03/03,08:00,7.8,0.0,81,223,2.5
2024/03/03,09:00,8.4,0.0,76,206,3.0
2024/03/03,10:00,10.6,0.0,65,99,1.5
2024/03/03,11:00,13.0,0.0,58,92,3.4
2024/03/03,12:00,13.2,0.0,57,93,3.8
2024/03/03,13:00,12.9,0.0,59,15,3.2
2024/03/03,14:00,13.2,0.2,57,162,1.4
2024/03/03,15:00,14.5,0.0,47,128,2.2
2024/03/03,16:00,15.4,0.0,43,104,3.4
2024/03/03,17:00,15.5,0.2,43,97,2.9
2024/03/03,18:00,15.5,0.2,44,104,2.9
2024/03/03,19:00,14.4,0.0,47,53,2.9
2024/03/03,20:00,13.0,0.2,52,48,1.7
2024/03/03,21:00,12.1,0.2,60,197,3.2
2024/03/03,22:00,11.7,0.2,60,167,2.2
2024/03/03,23:00,11.2,0.2,61,182,1.4
2024/03/04,00:00,10.8,0.2,61,217,2.1
2024/03/04,01:00,10.6,0.2,63,211,2.5
2024/03/04,02:00,8.5,0.2,80,284,1.2
2024/03/04,03:00,8.3,0.0,85,22,0.9
2024/03/04,04:00,8.8,0.2,80,185,1.7
2024/03/04,05:00,8.5,0.2,82,64,3.7
2024/03/04,06:00,9.0,0.2,77,133,2.5
2024/03/04,07:00,8.5,0.2,80,317,1.1
2024/03/04,08:00,9.2,0.2,77,218,1.1
2024/03/04,09:00,9.8,0.2,72,344,1.6
2024/03/04,10:00,8.9,0.2,82,335,4.1
2024/03/04,11:00,8.2,0.2,82,30,1.6
2024/03/04,12:00,7.9,0.2,87,173,1.0
2024/03/04,13:00,9.8,0.2,76,161,1.5
2024/03/04,14:00,12.4,0.2,60,113,2.0
2024/03/04,15:00,14.1,0.0,54,110,2.8
2024/03/04,16:00,15.0,0.2,50,116,2.3
2024/03/04,17:00,15.3,0.2,49,74,3.8
2024/03/04,18:00,14.1,0.4,63,88,4.4
2024/03/04,19:00,12.4,0.2,64,158,4.9
2024/03/04,20:00,10.0,0.2,74,219,3.2
2024/03/04,21:00,9.1,0.4,78,192,3.6
2024/03/04,22:00,9.3,0.2,74,177,3.5
2024/03/04,23:00,9.1,0.2,74,148,2.1
2024/03/05,00:00,8.2,0.4,81,214,0.8
2024/03/05,01:00,8.3,0.2,80,204,2.8
2024/03/05,02:00,7.9,0.2,81,206,3.8
2024/03/05,03:00,7.5,0.4,81,219,2.1
2024/03/05,04:00,7.7,0.2,77,260,1.0
2024/03/05,05:00,8.1,0.2,76,175,1.8
2024/03/05,06:00,8.1,0.2,76,182,2.3
2024/03/05,07:00,8.1,0.2,78,201,1.7
2024/03/05,08:00,8.1,0.2,79,295,1.2
2024/03/05,09:00,8.6,0.2,78,260,1.9
2024/03/05,10:00,10.0,0.2,70,110,1.3
2024/03/05,11:00,10.6,0.2,69,93,1.6
2024/03/05,12:00,11.6,0.4,64,125,0.8
2024/03/05,13:00,12.0,0.0,65,61,2.4
2024/03/05,14:00,12.3,0.2,66,108,2.0
2024/03/05,15:00,13.0,0.2,62,149,1.9
2024/03/05,16:00,14.8,0.2,54,110,2.8
2024/03/05,17:00,14.0,0.2,60,62,4.6
2024/03/05,18:00,13.0,0.2,60,27,3.3
2024/03/05,19:00,12.0,0.2,66,10,3.2
2024/03/05,20:00,11.1,0.2,72,336,2.5
2024/03/05,21:00,10.4,0.2,72,228,1.1
2024/03/05,22:00,10.2,0.2,73,238,1.6
2024/03/05,23:00,9.4,0.2,72,323,1.7
2024/03/06,00:00,9.2,0.2,68,307,1.4
2024/03/06,01:00,9.8,0.2,66,277,1.0
2024/03/06,02:00,9.8,0.2,68,258,2.0
2024/03/06,03:00,9.5,0.2,71,269,1.3
2024/03/06,04:00,9.3,0.2,72,288,0.9
2024/03/06,05:00,9.2,0.0,80,24,1.7
2024/03/06,06:00,9.0,0.2,76,256,1.4
2024/03/06,07:00,8.4,0.2,79,330,0.5
2024/03/06,08:00,8.7,0.2,78,322,0.7
2024/03/06,09:00,11.1,0.0,66,112,1.6
2024/03/06,10:00,11.5,0.2,67,82,2.3
2024/03/06,11:00,12.0,0.2,67,105,3.2
2024/03/06,12:00,14.0,0.2,59,27,5.0
2024/03/06,13:00,12.7,0.2,61,56,2.5
2024/03/06,14:00,13.5,0.2,57,138,2.3
2024/03/06,15:00,14.9,0.2,55,99,3.8
2024/03/06,16:00,15.1,0.2,56,95,3.9
2024/03/06,17:00,14.0,0.2,61,4,4.7
2024/03/06,18:00,9.7,0.2,87,334,1.2
2024/03/06,19:00,11.6,0.0,70,169,4.0
2024/03/06,20:00,11.6,0.0,70,169,4.0
2024/03/06,21:00,10.7,0.2,72,186,2.8
2024/03/06,22:00,9.8,0.2,79,251,3.1
2024/03/06,23:00,9.1,S/D,S/D,S/D,S/D
2024/03/07,00:00,8.9,0.0,88,320,1.0
2024/03/07,01:00,8.6,0.2,90,281,0.9
2024/03/07,02:00,7.9,0.2,89,204,0.7
2024/03/07,03:00,8.0,0.0,88,137,1.1
2024/03/07,04:00,8.1,0.2,87,132,1.1
2024/03/07,05:00,8.3,0.2,82,224,0.7
2024/03/07,06:00,8.2,0.0,87,343,1.0
2024/03/07,07:00,8.2,0.2,86,265,1.6
2024/03/07,08:00,8.5,0.2,86,296,0.6
2024/03/07,09:00,8.8,0.0,83,74,3.2
2024/03/07,10:00,9.6,0.2,78,109,2.6
2024/03/07,11:00,10.4,0.2,74,94,3.0
2024/03/07,12:00,11.3,0.2,76,79,3.5
2024/03/07,13:00,12.1,0.0,70,94,2.0
2024/03/07,14:00,13.0,0.2,67,119,2.7
2024/03/07,15:00,14.4,0.2,61,122,3.1
2024/03/07,16:00,15.2,0.2,56,101,3.0
2024/03/07,17:00,15.3,0.2,57,84,3.8
2024/03/07,18:00,13.5,0.0,67,57,1.8
2024/03/07,19:00,12.7,0.2,63,208,2.7
2024/03/07,20:00,11.3,0.2,65,215,3.1
2024/03/07,21:00,11.0,0.0,68,1,0.9
2024/03/07,22:00,10.8,0.2,70,294,1.4
2024/03/07,23:00,10.6,0.0,70,316,1.1
2024/03/08,00:00,10.5,0.2,71,288,1.4
2024/03/08,01:00,10.7,0.2,74,247,2.2
2024/03/08,02:00,10.1,0.0,76,288,2.4
2024/03/08,03:00,9.0,0.2,83,329,3.7
2024/03/08,04:00,7.6,0.0,89,344,3.6
2024/03/08,05:00,7.2,0.2,91,348,3.1
2024/03/08,06:00,6.7,0.0,91,324,2.6
2024/03/08,07:00,6.6,0.2,90,317,2.3
2024/03/08,08:00,6.8,0.2,90,308,1.2
2024/03/08,09:00,7.3,0.0,90,341,2.5
2024/03/08,10:00,8.0,0.2,85,348,2.8
2024/03/08,11:00,9.0,0.0,79,356,3.1
2024/03/08,12:00,9.7,0.2,74,326,2.1
2024/03/08,13:00,10.9,0.0,70,153,1.3
2024/03/08,14:00,11.7,0.2,63,113,2.1
2024/03/08,15:00,13.0,0.2,60,89,2.1
2024/03/08,16:00,13.9,0.0,59,98,2.3
2024/03/08,17:00,14.7,0.2,60,94,2.9
2024/03/08,18:00,14.5,0.2,58,49,1.8
2024/03/08,19:00,12.7,0.2,64,213,5.5
2024/03/08,20:00,12.7,0.2,64,213,5.5
2024/03/08,21:00,10.0,0.0,77,1,1.1
2024/03/08,22:00,10.4,0.2,73,284,2.2
2024/03/08,23:00,9.8,0.0,79,322,3.5
2024/03/09,00:00,9.5,0.2,81,303,1.7
2024/03/09,01:00,8.9,0.0,86,180,1.3
2024/03/09,02:00,8.4,0.2,87,12,0.6
2024/03/09,03:00,8.3,0.0,87,262,0.5
2024/03/09,04:00,8.3,0.0,88,310,1.0
2024/03/09,05:00,8.6,0.2,87,271,1.0
2024/03/09,06:00,8.8,0.0,84,319,0.8
2024/03/09,07:00,9.1,0.2,84,258,1.7
2024/03/09,08:00,9.2,0.0,83,263,1.1
2024/03/09,09:00,9.6,0.0,81,346,2.1
2024/03/09,10:00,10.1,0.2,78,342,1.8
2024/03/09,11:00,11.2,0.0,72,359,1.1
2024/03/09,12:00,12.5,0.0,69,106,3.1
2024/03/09,13:00,13.3,0.2,68,109,2.6
2024/03/09,14:00,14.4,0.0,63,117,1.9
2024/03/09,15:00,15.8,0.2,55,100,4.4
2024/03/09,16:00,16.1,0.0,62,85,4.7
2024/03/09,17:00,15.7,0.0,60,104,4.5
2024/03/09,18:00,15.0,0.2,59,66,3.0
2024/03/09,19:00,7.1,0.0,90,272,2.1
2024/03/09,20:00,7.1,0.0,90,272,2.1
2024/03/09,21:00,9.3,0.0,79,214,1.5
2024/03/09,22:00,10.0,0.0,77,326,1.0
2024/03/09,23:00,10.5,0.2,73,249,1.9
2024/03/10,00:00,10.6,0.0,70,280,1.2
2024/03/10,01:00,10.6,0.0,74,16,1.8
2024/03/10,02:00,10.0,0.0,80,280,0.8
2024/03/10,03:00,9.8,0.0,81,304,0.7
2024/03/10,04:00,9.6,0.0,84,287,0.8
2024/03/10,05:00,9.5,0.0,82,269,2.1
2024/03/10,06:00,9.2,0.2,84,62,2.5
2024/03/10,07:00,9.1,0.0,81,78,4.0
2024/03/10,08:00,9.1,0.0,80,64,3.5
2024/03/10,09:00,9.8,0.0,79,75,4.8
2024/03/10,10:00,10.1,0.0,80,90,5.6
2024/03/10,11:00,10.4,0.0,77,82,4.1
2024/03/10,12:00,9.9,0.0,80,69,2.8
2024/03/10,13:00,11.0,0.2,76,69,4.7
2024/03/10,14:00,10.5,0.0,77,32,3.0
2024/03/10,15:00,10.7,0.0,74,16,3.3
2024/03/10,16:00,11.6,0.0,69,117,1.7
2024/03/10,17:00,12.1,0.0,71,177,1.7
2024/03/10,18:00,12.3,0.0,68,74,0.6
2024/03/10,19:00,11.4,0.0,74,270,3.2
2024/03/10,20:00,11.4,0.0,74,270,3.2
2024/03/10,21:00,10.9,0.0,72,257,2.3
2024/03/10,22:00,11.1,0.0,67,263,1.0
2024/03/10,23:00,10.8,0.0,72,314,1.0
2024/03/11,00:00,11.0,0.2,72,346,0.7
2024/03/11,01:00,10.6,0.0,74,272,1.6
2024/03/11,02:00,10.1,0.0,77,290,1.0
2024/03/11,03:00,9.2,0.0,81,356,4.7
2024/03/11,04:00,8.5,0.0,84,213,1.6
2024/03/11,05:00,8.4,0.0,85,210,1.8
2024/03/11,06:00,7.6,0.0,91,324,1.0
2024/03/11,07:00,7.2,0.0,91,217,1.0
2024/03/11,08:00,7.7,0.0,90,283,0.9
2024/03/11,09:00,8.8,0.0,85,315,0.5
2024/03/11,10:00,10.2,0.0,77,133,1.0
2024/03/11,11:00,12.0,0.0,69,114,1.8
2024/03/11,12:00,12.1,0.0,68,106,3.9
2024/03/11,13:00,13.1,0.0,68,103,3.5
2024/03/11,14:00,14.1,0.0,64,126,2.5
2024/03/11,15:00,15.2,0.0,55,88,3.6
2024/03/11,16:00,15.4,0.2,59,99,5.4
2024/03/11,17:00,15.7,0.0,58,64,4.6
2024/03/11,18:00,14.6,0.0,55,65,4.5
2024/03/11,19:00,13.0,0.0,69,33,2.4
2024/03/11,20:00,13.0,0.0,69,33,2.4
2024/03/11,21:00,12.3,0.0,73,328,1.1
2024/03/11,22:00,11.7,0.0,76,305,0.7
2024/03/11,23:00,11.8,0.0,76,312,0.6
2024/03/12,00:00,11.9,0.0,75,319,1.2
2024/03/12,01:00,9.7,0.0,84,338,1.7
2024/03/12,02:00,8.5,0.0,90,354,1.1
2024/03/12,03:00,9.1,0.0,87,341,0.9
2024/03/12,04:00,9.2,0.0,86,193,1.1
2024/03/12,05:00,8.7,0.0,85,338,1.3
2024/03/12,06:00,8.8,0.0,79,196,1.5
2024/03/12,07:00,8.7,0.0,77,275,1.5
2024/03/12,08:00,8.8,0.0,77,329,1.2
2024/03/12,09:00,11.8,0.0,63,196,0.8
2024/03/12,10:00,13.3,0.0,58,118,1.6
2024/03/12,11:00,13.7,0.0,57,162,1.9
2024/03/12,12:00,14.8,0.0,59,113,3.2
2024/03/12,13:00,15.1,0.0,57,100,4.4
2024/03/12,14:00,16.0,0.0,52,113,4.1
2024/03/12,15:00,16.6,0.0,49,95,3.5
2024/03/12,16:00,17.2,0.0,44,92,2.6
2024/03/12,17:00,17.3,0.0,39,94,3.4
2024/03/12,18:00,16.9,0.0,39,80,3.7
2024/03/12,19:00,15.6,0.0,43,44,2.3
2024/03/12,20:00,14.4,0.0,49,42,1.3
2024/03/12,21:00,13.4,0.0,62,266,0.6
2024/03/12,22:00,13.4,0.0,68,119,3.6
