Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/02/01,00:00,12.2,0.0,67,26,2.0
2024/02/01,01:00,11.2,0.8,74,33,4.1
2024/02/01,02:00,10.7,0.0,75,86,1.6
2024/02/01,03:00,10.0,1.0,78,38,3.2
2024/02/01,04:00,8.2,3.6,86,1,1.2
2024/02/01,05:00,7.4,1.6,90,299,0.8
2024/02/01,06:00,7.8,1.2,87,187,2.2
2024/02/01,07:00,8.5,0.0,79,172,2.1
2024/02/01,08:00,9.3,0.0,72,164,2.0
2024/02/01,09:00,10.5,0.0,68,101,3.5
2024/02/01,10:00,12.5,0.0,63,100,3.7
2024/02/01,11:00,13.3,0.0,58,86,4.5
2024/02/01,12:00,14.3,0.0,48,86,4.3
2024/02/01,13:00,14.6,0.0,48,84,4.1
2024/02/01,14:00,14.9,0.0,50,115,5.6
2024/02/01,15:00,15.8,0.0,51,93,5.3
2024/02/01,16:00,15.9,0.0,50,87,5.0
2024/02/01,17:00,16.0,0.0,46,94,4.2
2024/02/01,18:00,15.4,0.0,47,86,4.4
2024/02/01,19:00,13.5,0.0,54,99,5.4
2024/02/01,20:00,13.5,0.0,54,99,5.4
2024/02/01,21:00,13.3,0.0,51,104,3.5
2024/02/01,22:00,13.2,S/D,S/D,S/D,S/D
2024/02/01,23:00,13.0,0.0,60,103,5.8
2024/02/02,00:00,12.5,0.0,63,144,4.0
2024/02/02,01:00,11.3,0.0,66,217,2.3
2024/02/02,02:00,10.3,0.0,68,196,3.9
2024/02/02,03:00,10.3,0.0,67,237,1.8
2024/02/02,04:00,10.5,0.0,66,218,0.8
2024/02/02,05:00,10.1,0.2,70,243,2.3
2024/02/02,06:00,10.0,0.0,70,132,1.1
2024/02/02,07:00,9.6,0.0,76,330,2.7
2024/02/02,08:00,9.0,0.0,79,342,3.1
2024/02/02,09:00,8.4,2.0,82,23,3.0
2024/02/02,10:00,8.4,0.0,82,23,3.1
2024/02/02,11:00,9.3,0.2,80,79,5.2
2024/02/02,12:00,9.9,0.0,78,75,3.6
2024/02/02,13:00,10.5,0.0,77,79,3.7
2024/02/02,14:00,11.4,0.0,72,92,3.4
2024/02/02,15:00,12.6,0.0,69,103,4.9
2024/02/02,16:00,13.4,0.0,65,65,4.5
2024/02/02,17:00,13.7,0.0,57,70,5.2
2024/02/02,18:00,12.0,0.0,63,74,4.1
2024/02/02,19:00,11.3,0.0,68,74,2.6
