Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/07/01,00:00,7.8,0.0,32,316,1.4
2024/07/01,01:00,7.3,0.0,31,330,1.6
2024/07/01,02:00,6.6,0.0,33,346,1.7
2024/07/01,03:00,5.2,0.0,37,284,1.6
2024/07/01,04:00,4.2,0.0,42,317,1.3
2024/07/01,05:00,2.9,0.0,48,19,0.5
2024/07/01,06:00,2.6,0.0,50,300,1.3
2024/07/01,07:00,2.5,0.0,45,301,1.2
2024/07/01,08:00,2.5,0.0,43,305,0.7
2024/07/01,09:00,6.1,0.0,38,64,1.4
2024/07/01,10:00,8.4,0.0,36,117,1.6
2024/07/01,11:00,10.6,0.0,31,115,2.9
2024/07/01,12:00,11.8,0.0,27,100,3.1
2024/07/01,13:00,13.2,0.0,23,96,4.1
2024/07/01,14:00,14.5,0.0,23,98,4.0
2024/07/01,15:00,14.8,0.0,21,101,4.0
2024/07/01,16:00,15.1,0.0,21,93,4.3
2024/07/01,17:00,14.5,0.0,17,62,3.9
2024/07/01,18:00,12.9,0.0,14,56,2.2
2024/07/01,19:00,10.7,0.0,21,306,0.7
2024/07/01,20:00,8.4,0.0,27,302,1.3
2024/07/01,21:00,7.3,0.0,32,297,1.3
2024/07/01,22:00,6.5,0.0,32,291,1.4
2024/07/01,23:00,6.6,0.0,28,288,1.9
2024/07/02,00:00,6.0,0.0,29,287,2.4
2024/07/02,01:00,4.9,0.0,34,310,1.1
2024/07/02,02:00,3.7,0.0,39,340,1.1
2024/07/02,03:00,3.0,0.0,45,282,2.1
2024/07/02,04:00,2.5,0.0,42,341,0.8
2024/07/02,05:00,2.1,0.0,44,292,1.3
2024/07/02,06:00,1.3,0.0,44,299,1.2
