Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/04/01,00:00,9.2,0.0,71,281,1.0
2024/04/01,01:00,8.8,0.0,73,330,1.5
2024/04/01,02:00,8.6,0.0,77,305,1.0
2024/04/01,03:00,8.3,0.0,83,306,0.7
2024/04/01,04:00,8.0,0.0,84,268,1.8
2024/04/01,05:00,7.9,0.0,85,289,1.0
2024/04/01,06:00,7.8,0.0,85,325,1.3
2024/04/01,07:00,7.4,0.0,87,299,0.4
2024/04/01,08:00,7.7,0.0,84,294,0.8
2024/04/01,09:00,10.5,0.0,70,107,1.8
2024/04/01,10:00,11.1,0.0,72,13,2.3
2024/04/01,11:00,12.7,0.0,62,330,2.1
2024/04/01,12:00,14.0,0.0,55,336,1.9
2024/04/01,13:00,15.4,0.0,50,333,2.3
2024/04/01,14:00,16.0,0.0,51,28,3.1
2024/04/01,15:00,17.2,0.0,44,29,2.1
2024/04/01,16:00,17.5,0.0,42,327,2.7
2024/04/01,17:00,16.5,0.0,55,76,3.8
2024/04/01,18:00,15.2,0.0,57,43,1.5
2024/04/01,19:00,13.5,0.0,65,144,5.6
2024/04/01,20:00,13.5,0.0,65,144,5.6
2024/04/01,21:00,13.1,0.0,58,94,7.7
2024/04/01,22:00,10.6,0.2,77,62,2.6
2024/04/01,23:00,10.7,0.0,71,40,0.7
2024/04/02,00:00,10.9,0.0,64,282,1.4
2024/04/02,01:00,10.1,0.0,70,270,2.7
2024/04/02,02:00,9.6,0.0,77,324,3.0
2024/04/02,03:00,8.8,0.0,81,328,3.3
2024/04/02,04:00,8.5,0.0,81,359,0.9
2024/04/02,05:00,7.9,0.0,83,349,1.6
2024/04/02,06:00,7.4,0.0,81,342,2.9
2024/04/02,07:00,6.8,0.0,79,232,2.6
2024/04/02,08:00,7.0,0.0,74,214,1.3
2024/04/02,09:00,8.3,0.0,67,338,1.6
2024/04/02,10:00,10.4,0.0,60,323,2.2
2024/04/02,11:00,11.3,0.0,57,352,3.4
2024/04/02,12:00,11.9,0.0,55,327,3.0
2024/04/02,13:00,13.2,0.0,56,18,2.1
2024/04/02,14:00,14.3,0.0,53,134,2.6
2024/04/02,15:00,13.9,0.0,56,98,3.0
2024/04/02,16:00,14.6,0.0,55,81,4.4
2024/04/02,17:00,14.1,0.0,56,63,4.9
2024/04/02,18:00,13.2,0.0,63,27,3.9
2024/04/02,19:00,11.4,0.0,66,342,3.8
